2016-05-17 01:55:52.728068	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:55:52.728168	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:55:52.728415	 6  1      0 6800044  16516 271508    0    0   145   120   94  108  1  1 96  3  0	
2016-05-17 01:55:57.728783	 0  1      0 6768896  16572 272600    0    0     0  7890 3709 15587 10  5 64 21  0	
2016-05-17 01:56:02.729071	 0  2      0 6779792  16836 261248    0    0   288  4410 4264 19286 11  5 62 22  0	
2016-05-17 01:56:07.729381	 0  1      0 6772748  16864 267428    0    0   430  4186 4443 19846 11  6 62 22  0	
2016-05-17 01:56:12.729807	 2  1      0 6771656  16880 268972    0    0     0  3689 3798 17367 10  5 65 20  0	
2016-05-17 01:56:17.730076	 0  1      0 6771928  16904 270264    0    0     0  3970 4070 18402 10  5 64 20  0	
2016-05-17 01:56:22.730352	 1  0      0 6772440  16932 271672    0    0     2  4022 4121 19017 10  5 64 20  0	
2016-05-17 01:56:27.730626	 0  1      0 6769192  16952 273000    0    0     1  4182 4112 18668 11  5 64 20  0	
2016-05-17 01:56:32.730915	 0  1      0 6767216  16984 275176    0    0     0  4262 4335 19913 11  5 64 20  0	
2016-05-17 01:56:37.731291	 1  1      0 6765392  17024 276372    0    0     0  3737 3986 17873 10  6 64 20  0	
2016-05-17 01:56:42.731538	 1  1      0 6764144  17040 277724    0    0     0  3894 4165 18886 11  5 64 20  0	
2016-05-17 01:56:47.731860	 0  1      0 6768488  17056 279032    0    0     0  3905 4197 19129 11  5 64 20  0	
2016-05-17 01:56:52.732080	 0  1      0 6812588  17088 281804    0    0   180  3998 3955 17154 10  5 64 20  0	
2016-05-17 01:56:57.732638	 1  0      0 6847900  17112 281932    0    0     0   284  180  208  0  0 99  0  0	
2016-05-17 01:57:02.732986	 1  0      0 6848012  17120 281956    0    0     0    69   95   76  0  0 100  0  0	
2016-05-17 01:57:07.733401	 1  0      0 6848184  17144 282012    0    0     0    90  205  143  1  0 99  0  0	
2016-05-17 01:57:12.733677	 1  0      0 6848372  17160 282024    0    0     0    14   98  107  0  0 100  0  0	
2016-05-17 01:57:17.733997	 0  0      0 6847480  17176 282048    0    0     0    12  193  185  0  0 100  0  0	
2016-05-17 01:57:22.734375	 0  0      0 6847480  17192 282064    0    0     0    33  139  141  0  0 100  0  0	
2016-05-17 01:57:27.735028	 1  0      0 6847240  17200 282084    0    0     0    37  154  139  0  0 100  0  0	
2016-05-17 01:57:32.735311	 0  0      0 6847240  17216 282104    0    0     0    36  117  119  0  0 100  0  0	
2016-05-17 01:57:37.735715	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:57:37.735807	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:57:37.735870	 1  0      0 6847364  17224 282124    0    0     0    16  116  120  0  0 100  0  0	
2016-05-17 01:57:42.736029	 0  0      0 6848432  17380 279804    0    0     2  6270  461  587  2  1 95  2  0	
2016-05-17 01:57:47.736342	 0  1      0 6841888  17408 275724    0    0     0  5506 1170 6349  5  2 75 17  0	
2016-05-17 01:57:52.736638	 0  1      0 6838788  17424 279480    0    0     0  4016 1181 6626  5  2 75 18  0	
2016-05-17 01:57:57.737035	 1  0      0 6836556  17440 281272    0    0     0  3788 1115 6973  5  2 75 17  0	
2016-05-17 01:58:02.737394	 1  0      0 6835176  17456 282668    0    0     0  3565 1089 6746  5  2 75 17  0	
2016-05-17 01:58:07.737718	 0  1      0 6850056  17472 267508    0    0     0  3806 1261 7181  6  2 75 17  0	
2016-05-17 01:58:12.738045	 0  1      0 6849436  17488 268552    0    0     0  3551 1148 6814  5  2 75 17  0	
2016-05-17 01:58:17.738654	 0  1      0 6848444  17504 269572    0    0     0  3760 1116 6620  5  2 75 18  0	
2016-05-17 01:58:22.739055	 1  0      0 6847700  17544 270644    0    0     0  3697 1171 7081  6  2 75 17  0	
2016-05-17 01:58:27.739499	 1  0      0 6846196  17584 271612    0    0     0  3743 1047 7139  6  2 75 17  0	
2016-05-17 01:58:32.739762	 0  1      0 6845468  17600 272732    0    0     0  3285  962 6311  5  2 75 18  0	
2016-05-17 01:58:37.740091	 0  1      0 6844352  17616 273732    0    0     0  3281 1031 6309  5  2 75 18  0	
2016-05-17 01:58:42.740432	 1  0      0 6843360  17632 274588    0    0     0  3201  976 6151  5  2 75 18  0	
2016-05-17 01:58:47.740737	 0  1      0 6832896  17848 283260    0    0   448  6449 1570 3753  8  3 78 11  0	
2016-05-17 01:58:52.741022	 2  1      0 6842012  17872 273896    0    0     0  4724 1669 7462  6  3 70 22  0	
2016-05-17 01:58:57.741323	 0  1      0 6838788  17896 277276    0    0     0  4345 1803 8461  6  3 69 22  0	
2016-05-17 01:59:02.741620	 0  1      0 6836820  17912 278948    0    0     0  3644 1567 7631  6  3 69 22  0	
2016-05-17 01:59:07.741939	 0  1      0 6835456  17928 280612    0    0     0  4349 1984 9162  7  3 68 22  0	
2016-05-17 01:59:12.742210	 1  1      0 6834340  17944 282072    0    0     0  4246 1856 9048  7  3 68 21  0	
2016-05-17 01:59:17.742662	 1  1      0 6832852  17960 283488    0    0     0  4445 1960 9458  7  3 68 21  0	
2016-05-17 01:59:22.742982	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:59:22.743040	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:59:22.743070	 3  1      0 6831364  17976 284920    0    0     0  4464 1783 8888  7  3 69 22  0	
