2016-05-17 19:10:31.215300	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 19:10:31.215369	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 19:10:31.215403	 3  0      0 32204732  22848 414440    0    0    17   484  377 1389  3  2 87  8  0	
2016-05-17 19:10:36.215658	 1  1      0 32175176  22868 443720    0    0     0  7964 1099 6123  2  1 88  9  0	
2016-05-17 19:10:41.216022	 0  2      0 32173036  22884 446988    0    0     0  6776 1109 6090  2  1 88  9  0	
2016-05-17 19:10:46.216478	 2  1      0 32143952  22908 476496    0    0     0  6322  998 6475  3  1 88  9  0	
2016-05-17 19:10:51.216729	 1  2      0 32136760  22928 484032    0    0     0  5628  898 6349  2  1 88  9  0	
2016-05-17 19:10:56.217003	 0  2      0 32131800  22940 488816    0    0     0  5578  975 6731  3  1 88  9  0	
2016-05-17 19:11:01.217339	 1  1      0 32129428  22960 491556    0    0     0  5002 1026 6361  3  1 88  9  0	
2016-05-17 19:11:06.217644	 0  2      0 32108116  22988 511852    0    0     0  8043 1063 5869  2  1 88  9  0	
2016-05-17 19:11:11.217941	 0  2      0 32101544  23000 518432    0    0     0  5254 1214 7174  3  1 88  9  0	
2016-05-17 19:11:16.218244	 0  1      0 32095964  23040 523536    0    0     0  7063  870 5372  2  1 88 10  0	
2016-05-17 19:11:21.218518	 0  2      0 32090616  23056 528500    0    0     0  4663 1215 6874  3  1 88  9  0	
2016-05-17 19:11:26.218833	 0  2      0 32087284  23072 530496    0    0     0  7615 1243 6555  2  1 88  9  0	
2016-05-17 19:11:31.219098	 1  1      0 32089640  23096 530744    0    0     0  3959  879 6138  3  1 87  9  0	
