2016-05-17 19:13:44.576920	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 19:13:44.576996	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 19:13:44.577031	 2  1      0 32068756  24152 529752    0    0    15   559  364 1378  4  2 86  9  0	
2016-05-17 19:13:49.577394	 1  2      0 32084072  24172 522096    0    0     0 13030 3978 23579  9  4 77 10  0	
2016-05-17 19:13:54.577692	 1  1      0 32081772  24184 523972    0    0     0 10714 4014 24518  9  4 76 10  0	
2016-05-17 19:13:59.577955	 1  1      0 32088244  24200 517328    0    0     0  9131 4496 25697 10  4 76 11  0	
2016-05-17 19:14:04.578361	 3  1      0 32087276  24216 518256    0    0     0  7685 3916 23372  9  3 77 10  0	
2016-05-17 19:14:09.578891	 3  2      0 32089384  24236 516964    0    0     0  6973 4435 26339 10  4 76 10  0	
2016-05-17 19:14:14.579140	 0  2      0 32078348  24252 527928    0    0     0  6540 4266 27109 10  4 76 10  0	
2016-05-17 19:14:19.579406	 1  2      0 32085524  24276 520480    0    0     0  6242 3786 23575  9  3 78 10  0	
2016-05-17 19:14:24.579676	 0  2      0 32079728  24292 527176    0    0     0  5341 4124 24752  9  4 77 10  0	
2016-05-17 19:14:29.580063	 0  2      0 32073512  24308 532776    0    0     0  5379 4514 27966 11  4 75 10  0	
2016-05-17 19:14:34.580346	 0  2      0 32085292  24324 520504    0    0     0 20982 4002 24337  9  4 77 11  0	
2016-05-17 19:14:39.580657	 2  2      0 32079340  24344 525052    0    0     0  5622 4817 29989 11  4 75 10  0	
2016-05-17 19:14:44.581034	 2  0      0 32086968  24360 529516    0    0     0  5611 5020 29885 11  5 74 10  0	
