2016-05-17 01:55:50.295334	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:55:50.295398	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:55:50.295687	 4  1      0 6844012  16448 258860    0    0   146    99   88   85  1  1 96  3  0	
2016-05-17 01:55:55.295771	 7  1      0 6771624  16572 270020    0    0     0 12472 3991 15459 11  6 62 22  0	
2016-05-17 01:56:00.296022	 8  0      0 6781784  16588 258904    0    0     0  4251 3781 17077 10  5 64 20  0	
2016-05-17 01:56:05.296268	 1  1      0 6776320  16856 264524    0    0   718  4251 4318 19732 11  5 61 23  0	
2016-05-17 01:56:10.296551	13  0      0 6771864  16880 268176    0    0     0  3911 4200 18678 11  5 64 20  0	
2016-05-17 01:56:15.296811	 1  1      0 6772524  16904 269504    0    0     0  3844 3841 17534 10  5 65 20  0	
2016-05-17 01:56:20.297072	 1  1      0 6771424  16924 270888    0    0     1  3962 4145 18856 11  5 64 20  0	
2016-05-17 01:56:25.297324	 1  1      0 6770804  16952 272184    0    0     2  4259 4141 18918 10  5 64 20  0	
2016-05-17 01:56:30.297690	 0  1      0 6768572  16968 273960    0    0     0  3968 4069 18552 11  5 64 20  0	
2016-05-17 01:56:35.297940	 0  1      0 6766860  16992 275688    0    0     0  4123 4313 19880 11  5 64 20  0	
2016-05-17 01:56:40.298193	 0  1      0 6764756  17032 276928    0    0     0  3802 4103 18174 10  6 63 20  0	
2016-05-17 01:56:45.298446	 0  1      0 6765548  17048 278248    0    0     0  3849 4105 18802 11  5 64 20  0	
2016-05-17 01:56:50.298706	 0  1      0 6784148  17080 281196    0    0   180  3898 4155 18481 11  5 64 20  0	
2016-05-17 01:56:55.299162	 0  0      0 6847768  17104 281916    0    0     0  2280 2018 8206  5  3 82 10  0	
2016-05-17 01:57:00.299626	 0  0      0 6847816  17120 281948    0    0     0    78   77   71  0  0 100  0  0	
2016-05-17 01:57:05.300136	 0  0      0 6848704  17128 281968    0    0     0    22  103   77  0  0 100  0  0	
2016-05-17 01:57:10.300404	 0  0      0 6848372  17152 282024    0    0     0    79  197  149  1  0 99  0  0	
2016-05-17 01:57:15.300699	 0  0      0 6848512  17176 282040    0    0     0    15  126  131  0  0 100  0  0	
2016-05-17 01:57:20.300984	 0  0      0 6847480  17184 282060    0    0     0    29  200  196  0  0 100  0  0	
2016-05-17 01:57:25.301486	 0  0      0 6847480  17200 282076    0    0     0    37  139  130  0  0 100  0  0	
2016-05-17 01:57:30.301779	 0  0      0 6847240  17208 282100    0    0     0    31  144  140  0  0 100  0  0	
2016-05-17 01:57:35.302106	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:57:35.302165	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:57:35.302197	 1  0      0 6847240  17224 282120    0    0     0    25  120  121  0  0 100  0  0	
2016-05-17 01:57:40.302522	 0  0      0 6847364  17232 282136    0    0     0    23  100   95  0  0 100  0  0	
2016-05-17 01:57:45.302778	 0  1      0 6845980  17396 271968    0    0     2  9638 1060 4011  5  2 83 10  0	
2016-05-17 01:57:50.303060	 0  1      0 6840276  17416 278056    0    0     0  4165 1161 6094  5  2 75 18  0	
2016-05-17 01:57:55.303377	 0  1      0 6837300  17432 280704    0    0     0  3986 1101 7041  5  2 75 17  0	
2016-05-17 01:58:00.303750	 1  0      0 6835920  17448 281948    0    0     0  3530 1053 6649  5  2 75 18  0	
2016-05-17 01:58:05.304357	 0  1      0 6851048  17464 267048    0    0     0  3755 1238 7171  6  2 75 17  0	
2016-05-17 01:58:10.304678	 0  1      0 6849684  17480 268152    0    0     0  3723 1189 7031  6  2 75 17  0	
2016-05-17 01:58:15.305000	 0  1      0 6849064  17496 269208    0    0     0  3796 1122 6690  5  2 75 18  0	
2016-05-17 01:58:20.305760	 0  1      0 6848196  17536 269968    0    0     0  3495 1164 6679  5  2 75 17  0	
2016-05-17 01:58:25.306170	 1  0      0 6846956  17576 271324    0    0     0  3738 1125 7150  6  2 75 17  0	
2016-05-17 01:58:30.306585	 1  0      0 6845964  17592 272164    0    0     0  3570 1022 6845  5  2 75 17  0	
2016-05-17 01:58:35.306974	 0  1      0 6844972  17608 273380    0    0     0  3249  944 6242  5  2 75 18  0	
2016-05-17 01:58:40.307509	 0  1      0 6844104  17624 274096    0    0     0  3218  984 6185  5  2 75 18  0	
2016-05-17 01:58:45.307794	 0  0      0 6849328  17844 278408    0    0   448  5841 1420 4030  8  3 76 13  0	
2016-05-17 01:58:50.308084	 0  1      0 6844180  17864 271728    0    0     0  5120 1612 7104  6  3 74 18  0	
2016-05-17 01:58:55.308355	 0  1      0 6839904  17888 276276    0    0     0  4222 1703 7665  6  2 69 22  0	
2016-05-17 01:59:00.308664	 0  1      0 6838060  17912 278024    0    0     0  3805 1617 7836  6  3 69 22  0	
2016-05-17 01:59:05.308934	 0  1      0 6836200  17928 279848    0    0     0  3864 1678 8159  7  3 69 22  0	
2016-05-17 01:59:10.309262	 3  0      0 6835208  17944 281136    0    0     0  4518 2070 9557  8  3 68 21  0	
2016-05-17 01:59:15.309522	 0  1      0 6833348  17960 282644    0    0     0  4304 1895 9146  7  3 69 21  0	
2016-05-17 01:59:20.309814	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 01:59:20.309904	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 01:59:20.309937	 2  1      0 6832108  17976 284072    0    0     0  4632 1892 9254  7  3 68 22  0	
2016-05-17 01:59:25.310184	 0  1      0 6830496  17992 285532    0    0     0  4298 1763 9102  7  3 69 22  0	
2016-05-17 01:59:30.310513	 0  1      0 6844632  18008 270676    0    0     0  4486 1956 9557  8  3 68 21  0	
2016-05-17 01:59:35.310848	 3  0      0 6843640  18024 272232    0    0     0  4476 1893 9540  7  3 68 22  0	
2016-05-17 01:59:40.311219	 0  1      0 6842028  18040 273888    0    0     0  4535 2028 9642  7  3 68 21  0	
2016-05-17 01:59:45.311578	 3  0      0 6840292  18056 275468    0    0     0  4528 1975 9594  7  3 68 21  0	
2016-05-17 01:59:50.311992	 0  1      0 6830424  18136 282596    0    0     0  6458 1829 4928 10  4 77 10  0	
2016-05-17 01:59:55.312260	 3  0      0 6836608  18160 276688    0    0     0  6059 2328 10462  7  4 68 21  0	
2016-05-17 02:00:00.312591	 3  0      0 6833516  18176 279712    0    0     0  4611 2409 10363  8  4 67 21  0	
2016-05-17 02:00:05.312886	 1  1      0 6831368  18192 281272    0    0     1  3372 1965 8202  7  4 69 21  0	
2016-05-17 02:00:10.313156	 1  1      0 6829888  18208 282756    0    0     0  3913 2309 9674  8  3 68 21  0	
2016-05-17 02:00:15.313429	 0  1      0 6828648  18224 284148    0    0     0  3793 2047 9287  7  3 68 21  0	
2016-05-17 02:00:20.313719	 5  0      0 6827392  18240 285360    0    0     0  3542 1966 8648  7  3 69 21  0	
2016-05-17 02:00:25.314000	 0  1      0 6826152  18256 286632    0    0     0  3978 2065 9052  7  3 68 21  0	
2016-05-17 02:00:30.314333	 0  1      0 6824788  18272 287860    0    0     0  3560 1856 8652  7  3 69 21  0	
2016-05-17 02:00:35.314636	 0  1      0 6839792  18288 272572    0    0     0  3794 1893 9102  7  3 69 21  0	
2016-05-17 02:00:40.314959	 0  1      0 6838924  18304 273960    0    0     0  3807 2087 9400  7  3 68 21  0	
2016-05-17 02:00:45.315227	 0  1      0 6837684  18320 275176    0    0     0  3622 2082 9014  6  3 69 22  0	
2016-05-17 02:00:50.315497	 1  0      0 6843764  18368 279904    0    0     0  6170 1944 7105  8  3 70 18  0	
2016-05-17 02:00:55.315992	 0  1      0 6821592  18420 285732    0    0     1  4037 1679 5761  7  3 76 13  0	
2016-05-17 02:01:00.316262	 1  1      0 6831760  18444 275960    0    0     0  4231 1978 8864  6  3 69 21  0	
2016-05-17 02:01:05.316476	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 02:01:05.316544	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 02:01:05.316577	 4  1      0 6827016  18724 278932    0    0   107  3623 2213 9016  7  4 67 23  0	
2016-05-17 02:01:10.316838	 0  1      0 6825296  18740 280656    0    0     0  3608 2374 9885  8  4 68 21  0	
2016-05-17 02:01:15.317134	 1  1      0 6824304  18756 281812    0    0     0  3072 1947 8537  7  3 69 21  0	
2016-05-17 02:01:20.317387	 0  1      0 6822940  18772 283088    0    0     0  3500 2218 9787  7  4 68 21  0	
2016-05-17 02:01:25.317658	 2  0      0 6821824  18788 284224    0    0     0  3292 1916 8471  6  3 69 22  0	
2016-05-17 02:01:30.317954	 1  1      0 6820492  18804 285360    0    0     0  3519 2230 9876  8  3 68 21  0	
2016-05-17 02:01:35.318234	 0  1      0 6819624  18820 286488    0    0     0  3207 2009 8987  6  3 69 22  0	
2016-05-17 02:01:40.318499	 5  0      0 6818632  18836 287628    0    0     0  2985 1846 8385  6  3 70 22  0	
2016-05-17 02:01:45.318777	 0  1      0 6817284  18852 288716    0    0     0  3690 2311 10355  7  3 68 21  0	
2016-05-17 02:01:50.319119	 0  1      0 6831932  18868 273656    0    0     0  3927 2605 11077  8  4 67 21  0	
2016-05-17 02:01:55.319405	11  0      0 6819868  18948 276100    0    0     0  5706 1837 4976  9  3 76 11  0	
2016-05-17 02:02:00.319683	 0  1      0 6807468  18972 288024    0    0     0  6212 3070 13441  9  4 66 20  0	
2016-05-17 02:02:05.319973	 0  1      0 6820008  18988 275372    0    0     0  4471 3021 13045  9  4 67 21  0	
2016-05-17 02:02:10.320250	 2  0      0 6817388  19004 277880    0    0     0  3744 2853 11754  9  4 66 21  0	
2016-05-17 02:02:15.320526	 0  1      0 6815900  19020 279620    0    0     0  4106 3011 13296  9  4 67 21  0	
2016-05-17 02:02:20.320820	 0  1      0 6814272  19036 281160    0    0     0  3935 2956 12698  9  4 66 21  0	
2016-05-17 02:02:25.321105	 0  1      0 6812908  19052 282584    0    0     0  3961 2906 12830  9  4 67 21  0	
2016-05-17 02:02:30.321378	 0  1      0 6811172  19076 283952    0    0     0  4432 3142 13639  9  4 66 20  0	
2016-05-17 02:02:35.321670	 2  0      0 6810320  19092 285192    0    0     0  3624 2736 11850  8  4 68 21  0	
2016-05-17 02:02:40.322137	 0  1      0 6808708  19108 286780    0    0     0  4247 3162 13952  9  5 66 20  0	
