2016-05-17 02:56:28.931801	procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
2016-05-17 02:56:28.931912	 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2016-05-17 02:56:28.932165	 3  0      0 5103456  44668 1932788    0    0    14  2703  494 2499  8  4 70 18  0	
2016-05-17 02:56:33.932518	 1  1      0 5107300  44692 1929464    0    0     0 13033 1909 8806  7  3 67 23  0	
2016-05-17 02:56:38.932931	 1  1      0 5112384  44708 1924248    0    0     0 12524 1876 8573  7  3 67 24  0	
2016-05-17 02:56:43.933177	 2  1      0 5112508  44724 1924192    0    0     0  9334 1368 6594  5  2 69 24  0	
2016-05-17 02:56:48.933426	 3  0      0 5112244  44740 1923932    0    0     0 14181 2116 10157  8  4 65 24  0	
2016-05-17 02:56:53.933737	 3  1      0 5104076  44756 1932472    0    0     0 20394 2192 8706  7  3 66 24  0	
2016-05-17 02:56:58.934003	 2  1      0 5109780  44780 1926928    0    0     0 12784 1929 9373  7  3 66 24  0	
2016-05-17 02:57:03.934298	 1  1      0 5114864  44796 1921364    0    0     0 13222 1944 9548  8  4 65 23  0	
2016-05-17 02:57:08.934582	 0  1      0 5107036  44812 1927260    0    0     0 11479 1745 8660  7  3 67 24  0	
2016-05-17 02:57:13.934850	 0  1      0 5110028  44828 1926540    0    0     0  9682 1608 7466  6  3 67 24  0	
2016-05-17 02:57:18.935109	 0  1      0 5104696  44844 1931872    0    0     0 29466 2245 8313  6  3 66 24  0	
2016-05-17 02:57:23.935371	 0  1      0 5103704  44860 1932848    0    0     0 14768 2197 9707  7  4 65 24  0	
2016-05-17 02:57:28.935785	 1  1      0 5114368  44884 1923028    0    0     0 66466 2942 7976  6  4 64 26  0	
